Ledurrents,rstarPerSecond,ndf2,ndf3,ndf4,ndf5,ndf6
109,1195448027.19,314434.87,13725.58,475.92,38.68,1.58
110,1209438889.89,318114.84,13886.22,481.49,39.14,1.59
111,1224835478.48,322164.56,14062.99,487.62,39.63,1.61
112,1240133277.75,326188.29,14238.64,493.71,40.13,1.63
113,1256828705.86,330579.63,14430.32,500.35,40.67,1.66
114,1274142782.65,335133.7,14629.12,507.25,41.23,1.68
115,1241652369.04,326587.85,14256.08,494.31,40.18,1.64
116,1256359050.68,330456.1,14424.93,500.17,40.65,1.66
117,1270970181.88,334299.22,14592.69,505.98,41.13,1.68
118,1289419528.61,339151.89,14804.52,513.33,41.72,1.7
119,1305284152.81,343324.71,14986.67,519.64,42.24,1.72
120,1320826496.54,347412.77,15165.12,525.83,42.74,1.74
121,1336446576.28,351521.27,15344.46,532.05,43.25,1.76
122,1302412778.94,342569.46,14953.7,518.5,42.15,1.72
123,1319511462.4,347066.88,15150.02,525.31,42.7,1.74
124,1335419813.3,351251.2,15332.67,531.64,43.21,1.76
125,1350241479.39,355149.69,15502.85,537.54,43.69,1.78
126,1363237968.85,358568.12,15652.07,542.71,44.11,1.8
127,1379177090.19,362760.54,15835.07,549.06,44.63,1.82
128,1395088679.96,366945.71,16017.76,555.39,45.14,1.84
129,1360037836.26,357726.4,15615.32,541.44,44.01,1.79
130,1374341262.29,361488.58,15779.55,547.14,44.47,1.81
131,1388152360.53,365121.27,15938.12,552.63,44.92,1.83
132,1403958682.73,369278.76,16119.6,558.93,45.43,1.85
133,1420150446.09,373537.63,16305.51,565.37,45.96,1.87
134,1436761659.94,377906.82,16496.23,571.99,46.49,1.89
135,1451282099.12,381726.09,16662.95,577.77,46.96,1.91
136,1415630420.92,372348.74,16253.61,563.57,45.81,1.87
137,1431027009.76,376398.45,16430.39,569.7,46.31,1.89
138,1447741871.62,380794.91,16622.3,576.36,46.85,1.91
139,1463930396.11,385052.93,16808.17,582.8,47.37,1.93
140,1478020048.13,388758.88,16969.94,588.41,47.83,1.95
141,1494757583.11,393161.3,17162.11,595.07,48.37,1.97
142,1511501595.84,397565.43,17354.36,601.74,48.91,1.99
143,1472207661.69,387230.07,16903.21,586.1,47.64,1.94
144,1487728951.85,391312.58,17081.41,592.28,48.14,1.96
145,1500325424.83,394625.79,17226.04,597.29,48.55,1.98
146,1515679906.54,398664.43,17402.33,603.4,49.05,2
147,1532563196.42,403105.19,17596.18,610.12,49.59,2.02
148,1547218054.06,406959.81,17764.44,615.96,50.07,2.04
149,1560640472,410490.27,17918.55,621.3,50.5,2.06
150,1519829066.11,399755.77,17449.97,605.05,49.18,2
151,1535339019.84,403835.31,17628.05,611.23,49.68,2.02
152,1550708077.12,407877.78,17804.51,617.35,50.18,2.04
153,1564413907.79,411482.78,17961.87,622.8,50.62,2.06
154,1580399994.43,415687.55,18145.42,629.17,51.14,2.08
155,1597093802.98,420078.47,18337.09,635.81,51.68,2.11
156,1612380265.56,424099.22,18512.6,641.9,52.18,2.13
157,1571656312.81,413387.73,18045.03,625.69,50.86,2.07
158,1584008241.08,416636.62,18186.85,630.61,51.26,2.09
159,1601817885.05,421321.03,18391.33,637.7,51.83,2.11
160,1617831503.52,425533.04,18575.19,644.07,52.35,2.13
161,1632434537.15,429374.03,18742.86,649.88,52.82,2.15
162,1646533906.04,433082.54,18904.74,655.5,53.28,2.17
163,1664707937.87,437862.8,19113.4,662.73,53.87,2.19
164,1619326302.12,425926.21,18592.35,644.67,52.4,2.13
165,1634167402.47,429829.82,18762.75,650.57,52.88,2.15
166,1647434348.39,433319.38,18915.08,655.86,53.31,2.17
167,1663498171.05,437544.6,19099.51,662.25,53.83,2.19
168,1678876945.46,441589.63,19276.09,668.37,54.33,2.21
169,1694224949.17,445626.57,19452.31,674.48,54.82,2.23
170,1707841707.13,449208.14,19608.65,679.9,55.26,2.25
171,1660926404.78,436868.16,19069.99,661.23,53.75,2.19
172,1677459882.61,441216.9,19259.82,667.81,54.28,2.21
173,1693251629.5,445370.56,19441.13,674.1,54.79,2.23
174,1706021388.94,448729.35,19587.75,679.18,55.21,2.25
175,1721798560.26,452879.16,19768.89,685.46,55.72,2.27
176,1736595933.91,456771.27,19938.79,691.35,56.2,2.29
177,1752274315.66,460895.1,20118.8,697.59,56.7,2.31
178,1702758095.9,447871.01,19550.28,677.88,55.1,2.24
