Ledurrents,rstarPerSecond,ndf2,ndf3,ndf4,ndf5,ndf6
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,64404.79,16.94,0.74,0.03,0,0
7,90664.25,23.85,1.04,0.04,0,0
8,10066496.16,2647.76,115.58,4.01,0.33,0.01
9,23902469.18,6286.99,274.44,9.52,0.77,0.03
10,37173172.69,9777.54,426.81,14.8,1.2,0.05
11,48720426.18,12814.78,559.39,19.4,1.58,0.06
12,61087251.32,16067.58,701.38,24.32,1.98,0.08
13,76429688.28,20103.06,877.53,30.43,2.47,0.1
14,91627007.17,24100.36,1052.02,36.48,2.96,0.12
15,107050986.68,28157.28,1229.11,42.62,3.46,0.14
16,123381608.7,32452.67,1416.61,49.12,3.99,0.16
17,135369744.75,35605.87,1554.25,53.89,4.38,0.18
18,143038890.11,37623.06,1642.31,56.94,4.63,0.19
19,156353820.12,41125.24,1795.18,62.25,5.06,0.21
20,168896169.04,44424.22,1939.19,67.24,5.47,0.22
21,181297546.12,47686.11,2081.57,72.18,5.87,0.24
22,195917156.79,51531.46,2249.43,78,6.34,0.26
23,209472568.19,55096.9,2405.07,83.39,6.78,0.28
24,222002478.41,58392.6,2548.93,88.38,7.18,0.29
25,227803055.65,59918.31,2615.53,90.69,7.37,0.3
26,243965064.19,64169.35,2801.09,97.12,7.89,0.32
27,259064255.72,68140.84,2974.46,103.14,8.38,0.34
28,271996350.35,71542.33,3122.94,108.28,8.8,0.36
29,285923540.39,75205.55,3282.84,113.83,9.25,0.38
30,298051266.34,78395.47,3422.09,118.66,9.64,0.39
31,310842389,81759.88,3568.95,123.75,10.06,0.41
32,313125580.37,82360.42,3595.16,124.66,10.13,0.41
33,326544166.09,85889.87,3749.23,130,10.57,0.43
34,338240683.8,88966.36,3883.52,134.66,10.95,0.45
35,349684281.49,91976.34,4014.91,139.21,11.32,0.46
36,362866532.1,95443.62,4166.27,144.46,11.74,0.48
37,375364654.67,98730.96,4309.76,149.44,12.15,0.49
38,389392736.39,102420.73,4470.83,155.02,12.6,0.51
39,389642892.37,102486.52,4473.7,155.12,12.61,0.51
40,403409761.49,106107.58,4631.76,160.6,13.05,0.53
41,416833875.51,109638.48,4785.89,165.94,13.49,0.55
42,429450856.6,112957.08,4930.76,170.97,13.9,0.57
43,442113446.27,116287.68,5076.14,176.01,14.31,0.58
44,454438809.17,119529.59,5217.66,180.92,14.71,0.6
45,468339739.8,123185.9,5377.26,186.45,15.16,0.62
46,463723602.53,121971.73,5324.26,184.61,15.01,0.61
47,474308930.37,124755.96,5445.8,188.83,15.35,0.63
48,486350967.43,127923.34,5584.06,193.62,15.74,0.64
49,501571781.51,131926.82,5758.81,199.68,16.23,0.66
50,515400844.14,135564.23,5917.59,205.18,16.68,0.68
51,527827098.71,138832.67,6060.27,210.13,17.08,0.7
52,542264275.21,142630.04,6226.03,215.88,17.55,0.71
53,535443725.02,140836.05,6147.72,213.16,17.33,0.71
54,548754508.84,144337.14,6300.54,218.46,17.76,0.72
55,562619505.59,147984.01,6459.74,223.98,18.21,0.74
56,574566179.29,151126.3,6596.9,228.74,18.59,0.76
57,584373397.85,153705.86,6709.5,232.64,18.91,0.77
58,597248827.27,157092.45,6857.33,237.77,19.33,0.79
59,611692914.2,160891.63,7023.17,243.52,19.79,0.81
60,601229209.14,158139.39,6903.03,239.35,19.46,0.79
61,612813778.56,161186.45,7036.04,243.97,19.83,0.81
62,626785195.07,164861.3,7196.46,249.53,20.28,0.83
63,637963433.98,167801.48,7324.8,253.98,20.64,0.84
64,651265925.45,171300.39,7477.53,259.27,21.07,0.86
65,667032659.87,175447.47,7658.56,265.55,21.58,0.88
66,679255749.19,178662.47,7798.9,270.42,21.98,0.9
67,666289102.58,175251.89,7650.02,265.25,21.56,0.88
68,679706306.17,178780.97,7804.07,270.6,21.99,0.9
69,692417268.48,182124.3,7950.01,275.66,22.41,0.91
70,706754935.43,185895.49,8114.63,281.36,22.87,0.93
71,719559878.98,189263.53,8261.65,286.46,23.28,0.95
72,732331652.91,192622.85,8408.29,291.55,23.7,0.97
73,744545067.29,195835.31,8548.52,296.41,24.09,0.98
74,729830093.49,191964.87,8379.57,290.55,23.62,0.96
75,744908553.7,195930.91,8552.69,296.55,24.1,0.98
76,755417867.36,198695.14,8673.36,300.74,24.44,1
77,767699003.57,201925.41,8814.36,305.63,24.84,1.01
78,781334575.43,205511.93,8970.92,311.05,25.28,1.03
79,793625386.35,208744.75,9112.04,315.95,25.68,1.05
80,807263722.47,212331.99,9268.63,321.38,26.12,1.06
81,791964129.95,208307.79,9092.96,315.29,25.63,1.04
82,805458729.85,211857.23,9247.9,320.66,26.06,1.06
83,816957610.61,214881.75,9379.93,325.24,26.44,1.08
84,830655375.99,218484.62,9537.2,330.69,26.88,1.1
