SpectraSuite Data File
++++++++++++++++++++++++++++++++++++
Date: Thu Feb 01 18:58:10 EET 2018
User: mkilpela
Dark Spectrum Present: Yes
Reference Spectrum Present: No
Number of Sampled Component Spectra: 1
Spectrometers: JAZA2845
Integration Time (usec): 3353 (JAZA2845)
Spectra Averaged: 1 (JAZA2845)
Boxcar Smoothing: 0 (JAZA2845)
Correct for Electrical Dark: No (JAZA2845)
Strobe/Lamp Enabled: No (JAZA2845)
Correct for Detector Non-linearity: No (JAZA2845)
Correct for Stray Light: No (JAZA2845)
Number of Pixels in Processed Spectrum: 2048
>>>>>Begin Processed Spectral Data<<<<<
340,21	0,0000E00
340,58	0,0000E00
340,96	0,0000E00
341,33	-0,0000E00
341,70	-0,0000E00
342,07	-0,0000E00
342,45	0,0000E00
342,82	-0,0000E00
343,19	-0,0000E00
343,57	-0,0000E00
343,94	-0,0000E00
344,31	-0,0000E00
344,68	-0,0000E00
345,06	0,0000E00
345,43	-0,0000E00
345,80	0,0000E00
346,18	0,0000E00
346,55	0,0000E00
346,92	-0,0000E00
347,29	-0,0000E00
347,67	0,0000E00
348,04	-0,0000E00
348,41	0,0000E00
348,78	-0,0000E00
349,16	-0,0000E00
349,53	0,0000E00
349,90	-0,0000E00
350,27	-1,3194E-01
350,64	-1,1360E-01
351,02	1,6307E-01
351,39	1,0821E-01
351,76	4,4542E-01
352,13	5,1395E-02
352,51	1,9677E-01
352,88	2,9122E-02
353,25	-1,2804E-01
353,62	1,1990E-01
353,99	1,2905E-01
354,37	1,5177E-01
354,74	-1,9065E00
355,11	-2,9570E-01
355,48	1,0816E-01
355,85	-4,3385E-01
356,23	7,2758E-02
356,60	7,4221E-03
356,97	-8,8378E-02
357,34	-3,5563E-01
357,71	-2,6374E-01
358,08	-3,3223E-01
358,46	-7,2985E-03
358,83	0,0000E00
359,20	2,4829E-02
359,57	-1,4232E-02
359,94	1,0489E-01
360,31	-5,7630E-02
360,69	-3,6893E-02
361,06	4,9372E-01
361,43	-8,0408E-02
361,80	5,9325E-01
362,17	1,4270E-01
362,54	2,1656E-01
362,91	-9,2250E-02
363,29	1,1082E-02
363,66	-1,3452E-01
364,03	-1,4578E-01
364,40	3,8893E-01
364,77	-1,1599E-02
365,14	1,1730E-01
365,51	-2,6995E-01
365,88	1,6355E-01
366,26	9,8657E-02
366,63	-1,4273E-01
367,00	1,9571E-01
367,37	1,9033E-02
367,74	1,2447E-01
368,11	5,7303E-01
368,48	9,7040E-02
368,85	1,6012E-02
369,22	4,2475E-02
369,59	2,8361E-02
369,97	-5,3260E-01
370,34	-3,2532E-01
370,71	-1,0417E-01
371,08	-1,1759E-01
371,45	1,9614E-02
371,82	-1,1210E-02
372,19	-7,8241E-02
372,56	-1,2852E-01
372,93	4,6760E-01
373,30	-1,1960E-01
373,67	5,5505E-02
374,04	-3,2809E-01
374,41	-1,0158E-01
374,78	-9,6363E-02
375,15	-3,2979E-01
375,52	-2,8015E-01
375,89	-9,5193E-02
376,26	-5,3426E-02
376,63	2,0031E-01
377,00	-2,4928E-01
377,38	1,8117E-01
377,75	-2,2175E-01
378,12	7,2315E-02
378,49	-2,2734E-01
378,86	-1,3048E-01
379,23	1,0997E-01
379,60	2,8879E-01
379,97	-1,4125E-01
380,34	1,1589E-01
380,71	-7,3509E-02
381,08	6,2731E-02
381,45	8,6550E-02
381,82	2,8887E-01
382,19	-2,9290E-01
382,55	3,4720E-01
382,92	-1,3334E-01
383,29	-8,9205E-03
383,66	-1,3480E-01
384,03	-2,8331E-01
384,40	1,1597E-02
384,77	3,0785E-01
385,14	-9,4754E-02
385,51	-9,5054E-02
385,88	1,7213E-02
386,25	-3,0241E-02
386,62	6,6627E-02
386,99	4,4520E-02
387,36	8,9280E-02
387,73	-1,2145E-02
388,10	-1,5494E-01
388,47	-7,3637E-02
388,84	-2,5426E-01
389,21	0,0000E00
389,58	1,2551E-01
389,94	-1,3120E-01
390,31	8,2763E-02
390,68	-1,7166E-02
391,05	2,3722E-01
391,42	3,1724E-02
391,79	1,0964E-01
392,16	1,1283E-01
392,53	4,3730E-02
392,90	8,7737E-02
393,27	3,3547E-02
393,63	3,3496E-02
394,00	1,8136E-01
394,37	1,7655E-01
394,74	-3,8053E-02
395,11	-3,3856E-01
395,48	-4,5524E-02
395,85	4,4314E-02
396,22	-4,5447E-02
396,58	-2,1815E-01
396,95	-2,0337E-02
397,32	8,0336E-02
397,69	-9,8743E-02
398,06	-8,4948E-02
398,43	-3,3004E-02
398,80	8,8867E-02
399,16	1,9763E-02
399,53	-1,0903E-01
399,90	-6,3778E-02
400,27	1,7720E-02
400,64	6,9148E-02
401,01	-6,8492E-03
401,37	-1,8762E-01
401,74	-2,4146E-01
402,11	1,2817E-01
402,48	3,2422E-02
402,85	6,2638E-02
403,22	2,9937E-02
403,58	-2,5474E-02
403,95	3,1631E-02
404,32	-1,4281E-01
404,69	-1,1649E-01
405,06	-2,0714E-01
405,42	-3,3525E-02
405,79	-1,1858E-01
406,16	2,7291E-02
406,53	7,4463E-02
406,89	4,6456E-02
407,26	6,3868E-02
407,63	1,5457E-01
408,00	7,2052E-02
408,37	7,0650E-02
408,73	5,6243E-02
409,10	-4,6379E-02
409,47	8,9461E-02
409,84	2,1987E-02
410,20	9,2070E-02
410,57	1,5420E-01
410,94	-5,2594E-02
411,31	9,3199E-02
411,67	1,1091E-01
412,04	-1,4378E-01
412,41	2,4310E-01
412,77	1,6774E-01
413,14	5,1261E-03
413,51	-6,5155E-02
413,88	-1,0942E-02
414,24	9,8702E-02
