Ledurrents,rstarPerSecond,ndf_4_4,ndf_3_4,ndf_2_4,ndf_1_4,ndf_5x0_4,ndf_5x0_3
172,2130020232.4,3.79,25.61,476.85,6003.21,51095.63,1067538.95
173,2137648812.05,3.8,25.7,478.56,6024.71,51278.62,1071362.29
174,2143486805.01,3.81,25.77,479.87,6041.17,51418.67,1074288.22
175,2149344823.53,3.82,25.84,481.18,6057.68,51559.19,1077224.19
176,2155207456.44,3.83,25.91,482.49,6074.2,51699.83,1080162.46
177,2161642959.66,3.84,25.99,483.93,6092.34,51854.2,1083387.86
178,2167452306.21,3.85,26.06,485.23,6108.71,51993.56,1086299.43
179,2173417847.7,3.86,26.13,486.57,6125.52,52136.66,1089289.28
180,2180869863.01,3.88,26.22,488.24,6146.53,52315.42,1093024.13
181,2187477029.47,3.89,26.3,489.72,6165.15,52473.92,1096335.56
182,2193263205.66,3.9,26.37,491.01,6181.46,52612.72,1099235.52
183,2200865815.5,3.91,26.46,492.71,6202.88,52795.09,1103045.85
184,2206919844.44,3.92,26.53,494.07,6219.95,52940.32,1106080.05
185,2213286240.33,3.94,26.61,495.49,6237.89,53093.04,1109270.81
186,2219462042.44,3.95,26.68,496.88,6255.29,53241.19,1112366.04
187,2226945176.61,3.96,26.77,498.55,6276.38,53420.69,1116116.49
188,2232745302.7,3.97,26.84,499.85,6292.73,53559.83,1119023.44
189,2238877443.45,3.98,26.92,501.22,6310.01,53706.93,1122096.79
190,2245815967.57,3.99,27,502.78,6329.57,53873.37,1125574.29
191,2251325654.05,4,27.07,504.01,6345.1,54005.54,1128335.68
192,2256503543.6,4.01,27.13,505.17,6359.69,54129.75,1130930.77
193,2262870103.11,4.02,27.21,506.59,6377.63,54282.47,1134121.61
194,2268312275.18,4.03,27.27,507.81,6392.97,54413.02,1136849.15
195,2273921311.59,4.04,27.34,509.07,6408.78,54547.57,1139660.33
196,2280570923.57,4.06,27.42,510.56,6427.52,54707.09,1142993.03
197,2286081797.68,4.07,27.48,511.79,6443.05,54839.28,1145755.01
198,2291835533.2,4.08,27.55,513.08,6459.27,54977.31,1148638.71
199,2297219197.37,4.09,27.62,514.28,6474.44,55106.45,1151336.93
200,2304040939.54,4.1,27.7,515.81,6493.67,55270.09,1154755.9
201,2310084195.87,4.11,27.77,517.16,6510.7,55415.06,1157784.71
202,2315910273.13,4.12,27.84,518.47,6527.12,55554.82,1160704.66
203,2322801638.41,4.13,27.93,520.01,6546.54,55720.13,1164158.53
204,2328361566.36,4.14,27.99,521.26,6562.21,55853.5,1166945.09
205,2333760304.89,4.15,28.06,522.46,6577.43,55983.01,1169650.87
206,2339740651.13,4.16,28.13,523.8,6594.29,56126.47,1172648.14
207,2344132562.22,4.17,28.18,524.79,6606.66,56231.82,1174849.31
208,2349095516.59,4.18,28.24,525.9,6620.65,56350.88,1177336.68
209,2354378298.57,4.19,28.31,527.08,6635.54,56477.6,1179984.35
210,2360256285,4.2,28.38,528.4,6652.11,56618.6,1182930.32
211,2364596157.04,4.2,28.43,529.37,6664.34,56722.71,1185105.41
212,2368778069.54,4.21,28.48,530.3,6676.12,56823.03,1187201.33
213,2373911853.19,4.22,28.54,531.45,6690.59,56946.18,1189774.31
214,2377947729.16,4.23,28.59,532.36,6701.97,57042.99,1191797.04
215,2381803698.64,4.24,28.64,533.22,6712.83,57135.49,1193729.61
216,2386660676.39,4.24,28.69,534.31,6726.52,57252,1196163.86
217,2390650545.68,4.25,28.74,535.2,6737.77,57347.71,1198163.53
218,2394122602.4,4.26,28.78,535.98,6747.55,57431,1199903.68
219,2399105924.93,4.27,28.84,537.09,6761.6,57550.54,1202401.26
220,2402461975.52,4.27,28.88,537.84,6771.06,57631.05,1204083.27
221,2406315831.5,4.28,28.93,538.71,6781.92,57723.5,1206014.77
